,FDA Brand Label,INDICATION 2,PEDIATRIC APPROVAL DATE 3*,Variation,GENE_ID,GENETIC_LABELS,DISEASE_LABELS,DISEASE_ID,,,,,,,,,,,,,,
72,Asparaginase [Elspar],As a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL),01-10-1978,--,,--,acute lymphoblastic leukemia (ALL),MONDO:0004967,,,,,,,,,,,,,,
28,Asparaginase Erwinia chrysanthemi (recombinant)-rywn [Rylaze],As a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase,06-30-2021,--,,--,hypersensitivity to E. coli-derived asparaginase| Allergic Disease,MONDO:0005271,,,,,,,,,,,,,,
28,Asparaginase Erwinia chrysanthemi (recombinant)-rywn [Rylaze],As a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase,06-30-2021,--,,--,lymphoblastic lymphoma (LBL) ,MONDO:0000873,,,,,,,,,,,,,,
28,Asparaginase Erwinia chrysanthemi (recombinant)-rywn [Rylaze],As a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase,06-30-2021,--,,--,acute lymphoblastic leukemia (ALL),MONDO:0004967,,,,,,,,,,,,,,
61,Asparaginase Erwinia Chrysanthemi [Erwinaze] [currently in shortage],A component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to E. coli-derived asparaginase,11-18-2011,--,,--,acute lymphoblastic leukemia (ALL),MONDO:0004967,,,,,,,,,,,,,,
61,Asparaginase Erwinia Chrysanthemi [Erwinaze] [currently in shortage],A component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to E. coli-derived asparaginase,11-18-2011,--,,--,hypersensitivity to E. coli-derived asparaginase | Allergic Disease,MONDO:0005271,,,,,,,,,,,,,,
20,Atezolizumab [Tecentriq],"As a single agent, for the treatment of adult and pediatric patients 2 years of age and older with unresectable or metastatic alveolar soft part sarcoma (ASPS)",12-09-2022,--,,--,Alveolar Soft Part Sarcoma,MONDO:0011655,,,,,,,,,,,,,,
57,Avelumab [Bavencio],Treatment of adults and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC),03-23-2017,--,,--,Merkel Cell Carcinoma,MONDO:0019210,,,,,,,,,,,,,,
23,Azacitidine [Vidaza],Treatment of pediatric patients aged 1 month and older with newly diagnosed Juvenile Myelomonocytic Leukemia (JMML),05-20-2022,--,,--,Juvenile Myelomonocytic Leukemia,MONDO:0011908,,,,,,,,,,,,,,
21,Brentuximab vedotin [Adcetris],"Treatment of pediatric patients 2 years and older with previously untreated high risk classical Hodgkin lymphoma (cHL), in combination with doxorubicin, vincristine, etoposide, prednisone, and cyclophosphamide",11-10-2022,--,,--,classical Hodgkin lymphoma (cHL),MONDO:0009348,,,,,,,,,,,,,,
