[2022-09-13 09:10:24,121] - metakb.harvesters.moa - INFO : MOAlmanac Harvester was successful.
[2022-09-13 09:10:35,482] - metakb.transform.moa - DEBUG : TOTAL MOA Assertions: 864
[2022-09-13 09:10:35,482] - metakb.transform.moa - DEBUG : TOTAL MOA Variants: 420
[2022-09-13 09:10:35,482] - metakb.transform.moa - DEBUG : TOTAL MOA Genes: 145
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : TOTAL MOA Genes able to normalize: 145
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:1: BCR--ABL1 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:12: ALK Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:15: ALK
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:18: ALK Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:21: BRD4 Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:22: CCND1 Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:24: CCND3 Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:25: COL1A1--PDGFB Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:26: EML4--ALK Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:28: ESRP1--RAF1 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:30: EWSR1--FLI1 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:31: FGFR2--TACC3 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:32: FGFR2 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:34: FGFR2
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:36: FGFR3 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:37: FGFR3--NSD2 Fusion
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:38: IGH Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:39: IGH Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:40: NTRK1 Translocation
[2022-09-13 09:10:51,625] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:42: NTRK2 Fusion
[2022-09-13 09:10:51,626] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:43: NTRK2 Translocation
[2022-09-13 09:10:51,626] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:46: NTRK3 Translocation
[2022-09-13 09:10:51,626] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:48: NTRK3 Fusion
[2022-09-13 09:10:51,626] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:49: PDGFRA
[2022-09-13 09:10:51,626] - metakb.transform.moa - DEBUG : Variation Normalizer does not support moa.variant:50: FIP1L1--PDGFRA Fusion
