SAMPLE_ID	mutations	structural_variants
10-P8045	WXS	WXS
01-P034	WXS	WXS
01-P1216	WXS	WXS
A673	WXS	WXS
SJDES018-R	WXS	WXS
SJDES007-R1	WXS	WXS
SJDES007-R2	WXS	WXS
02-P170	WXS	WXS
12-P4072	WXS	WXS
CHEWS035	WXS	WXS
CHEWS034	WXS	WXS
CHEWS036	WXS	WXS
CHEWS031	WXS	WXS
CHEWS030	WXS	WXS
CHEWS033	WXS	WXS
CHEWS032	WXS	WXS
10-P083	WXS	WXS
SJDES021	WXS	WXS
SJDES001-R	WXS	WXS
SJDES029	WXS	WXS
SJDES028	WXS	WXS
SJDES020	WXS	WXS
12-P8001	WXS	WXS
05-P103	WXS	WXS
08-P1177	WXS	WXS
Cado-ES1	WXS	WXS
TTC466	WXS	WXS
SJDES005	WXS	WXS
EWS502	WXS	WXS
08-P462	WXS	WXS
CHEWS008	WXS	WXS
CHEWS009	WXS	WXS
CHEWS004	WXS	WXS
CHEWS005	WXS	WXS
CHEWS006	WXS	WXS
CHEWS007	WXS	WXS
CHEWS001	WXS	WXS
CHEWS002	WXS	WXS
07-P075	WXS	WXS
06-P2007	WXS	WXS
SJDES019	WXS	WXS
SJDES015	WXS	WXS
SJDES016	WXS	WXS
SJDES017	WXS	WXS
01-P131	WXS	WXS
EWS834	WXS	WXS
SJDES012	WXS	WXS
SJDES013	WXS	WXS
TC71	WXS	WXS
SJDES004-R	WXS	WXS
07-P8041	WXS	WXS
10-P1058	WXS	WXS
01-P8014	WXS	WXS
SJDES003-R	WXS	WXS
SJDES002-R	WXS	WXS
12-P616	WXS	WXS
CHEWS003	WXS	WXS
12-P412	WXS	WXS
03-P152	WXS	WXS
CHEWS019	WXS	WXS
CHEWS018	WXS	WXS
SJDES022-R	WXS	WXS
CHEWS016	WXS	WXS
CHEWS015	WXS	WXS
CHEWS014	WXS	WXS
CHEWS013	WXS	WXS
CHEWS012	WXS	WXS
CHEWS011	WXS	WXS
CHEWS010	WXS	WXS
11-P048	WXS	WXS
EW8	WXS	WXS
SJDES009	WXS	WXS
SJDES008	WXS	WXS
SJDES006	WXS	WXS
CHLA-258	WXS	WXS
SJDES004	WXS	WXS
05-P8014	WXS	WXS
12-P2194	WXS	WXS
08-P054	WXS	WXS
07-P1079	WXS	WXS
08-P8005	WXS	WXS
SJDES011-R	WXS	WXS
01-P459	WXS	WXS
SJDES010	WXS	WXS
SKNEP1	WXS	WXS
06-P036	WXS	WXS
SJDES014-R1	WXS	WXS
SJDES014-R2	WXS	WXS
12-P279	WXS	WXS
TC32	WXS	WXS
CHEWS023	WXS	WXS
CHEWS020	WXS	WXS
CHEWS021	WXS	WXS
CHEWS026	WXS	WXS
CHEWS027	WXS	WXS
CHEWS024	WXS	WXS
CHEWS025	WXS	WXS
SJDES016-R	WXS	WXS
CHEWS028	WXS	WXS
CHEWS029	WXS	WXS
RDES	WXS	WXS
CHEWS017	WXS	WXS
08-P1004	WXS	WXS
05-P8068	WXS	WXS
10-P4110	WXS	WXS
03-P1004	WXS	WXS
11-P8004	WXS	WXS
