Hugo_Symbol	TARGET-10-PAKSWW-04	TARGET-10-PAMXHJ-09	TARGET-10-PAMXSP-09	TARGET-10-PANCVR-03	TARGET-10-PANEPX-03	TARGET-10-PANEUH-09	TARGET-10-PANFNZ-03	TARGET-10-PANGIF-03	TARGET-10-PANIEU-03	TARGET-10-PANJPG-09	TARGET-10-PANJWJ-09	TARGET-10-PANKAK-04	TARGET-10-PANKAK-09	TARGET-10-PANKDT-03	TARGET-10-PANKGK-09	TARGET-10-PANKMB-09	TARGET-10-PANKRG-03	TARGET-10-PANLIC-09	TARGET-10-PANPJI-09	TARGET-10-PANRAL-03	TARGET-10-PANRDC-03	TARGET-10-PANRWG-09	TARGET-10-PANRYM-09	TARGET-10-PANSBR-09	TARGET-10-PANSDA-04	TARGET-10-PANSHK-04	TARGET-10-PANSHK-09	TARGET-10-PANSPW-09	TARGET-10-PANSUL-09	TARGET-10-PANSXG-09	TARGET-10-PANTSM-04	TARGET-10-PANTSM-09	TARGET-10-PANUHA-09	TARGET-10-PANUSN-03	TARGET-10-PANUSN-04	TARGET-10-PANVYR-04	TARGET-10-PANVYR-09	TARGET-10-PANWFB-09	TARGET-10-PANWHJ-09	TARGET-10-PANWHW-09	TARGET-10-PANWVW-09	TARGET-10-PANWYH-09	TARGET-10-PANWYK-09	TARGET-10-PANXDB-03	TARGET-10-PANXDR-09	TARGET-10-PANXPE-04	TARGET-10-PANYEJ-09	TARGET-10-PANYGB-04	TARGET-10-PANYGB-09	TARGET-10-PANYYV-04	TARGET-10-PANYZE-09	TARGET-10-PANZPJ-04	TARGET-10-PANZPJ-09	TARGET-10-PANZXC-09	TARGET-10-PAPAGK-09	TARGET-10-PAPAIZ-09	TARGET-10-PAPBCI-09	TARGET-10-PAPBES-03	TARGET-10-PAPBFN-09	TARGET-10-PAPBSY-09	TARGET-10-PAPBZK-09	TARGET-10-PAPCUR-09	TARGET-10-PAPCVZ-04	TARGET-10-PAPDJM-04	TARGET-10-PAPDKJ-09	TARGET-10-PAPDUF-09	TARGET-10-PAPDUV-04	TARGET-10-PAPDWT-04	TARGET-10-PAPEAB-04	TARGET-10-PAPECF-04	TARGET-10-PAPECF-09	TARGET-10-PAPEFH-04	TARGET-10-PAPEFH-09	TARGET-10-PAPEJN-04	TARGET-10-PAPEJN-09	TARGET-10-PAPESW-09	TARGET-10-PAPEWB-09	TARGET-10-PAPFWH-09	TARGET-10-PAPFXN-09	TARGET-10-PAPGFP-04	TARGET-10-PAPGFP-09	TARGET-10-PAPGGT-03	TARGET-10-PAPGNC-03	TARGET-10-PAPGYC-09	TARGET-10-PAPHEK-03	TARGET-10-PAPHGD-09	TARGET-10-PAPHJF-04	TARGET-10-PAPHJF-09	TARGET-10-PAPIGX-09	TARGET-10-PAPIJB-09	TARGET-10-PAPIJM-09	TARGET-10-PAPISG-04	TARGET-10-PAPJHB-04	TARGET-10-PAPJHB-09	TARGET-10-PAPJHR-09	TARGET-10-PAPJIB-04	TARGET-10-PAPJIB-09	TARGET-10-PAPJXI-04	TARGET-10-PAPJXI-09	TARGET-10-PAPKNC-09	TARGET-10-PAPLDL-03	TARGET-10-PAPLDL-04	TARGET-10-PAPLDM-04	TARGET-10-PAPLTZ-04	TARGET-10-PAPLTZ-09	TARGET-10-PAPLUG-09	TARGET-10-PAPMVB-04	TARGET-10-PAPMVB-09	TARGET-10-PAPMYD-03	TARGET-10-PAPNFY-03	TARGET-10-PAPNMY-04	TARGET-10-PAPNMY-09	TARGET-10-PAPNNX-04	TARGET-10-PAPNNX-09	TARGET-10-PAPPGN-04	TARGET-10-PAPRCS-04	TARGET-10-PAPRCS-09	TARGET-10-PAPRFE-09	TARGET-10-PAPSPG-04	TARGET-10-PAPSPN-04	TARGET-10-PAPSPN-09	TARGET-10-PAPTLM-09	TARGET-10-PAPVTA-04	TARGET-10-PAPVTA-09	TARGET-10-PAPZNK-04	TARGET-10-PAPZNK-09	TARGET-10-PAPZST-09	TARGET-10-PARACA-09	TARGET-10-PARAKF-04	TARGET-10-PARAKF-09	TARGET-10-PARARJ-09	TARGET-10-PARBRK-04	TARGET-10-PARBRK-09	TARGET-10-PARBVI-04	TARGET-10-PARBVI-09	TARGET-10-PARDWE-03	TARGET-10-PARFLV-09	TARGET-10-PARFTR-04	TARGET-10-PARFTR-09	TARGET-10-PARGFV-03	TARGET-10-PARGFV-04	TARGET-10-PARGVZ-04	TARGET-10-PARIAD-03	TARGET-10-PARIAD-04	TARGET-10-PARJSR-04	TARGET-10-PARJSR-09	TARGET-10-PARJZZ-04	TARGET-10-PARJZZ-09	TARGET-10-PARLAF-04	TARGET-10-PARLEK-03	TARGET-10-PARMSP-04	TARGET-10-PARMSP-09	TARGET-10-PARMXF-03	TARGET-10-PARMXF-04	TARGET-10-PARNMF-03	TARGET-10-PARNMF-04	TARGET-10-PARNSH-03	TARGET-10-PARPNM-09	TARGET-10-PARPRW-04	TARGET-10-PARPRW-09	TARGET-10-PARPZJ-03	TARGET-10-PARSGC-03	TARGET-10-PARSZH-04	TARGET-10-PARSZH-09	TARGET-10-PARUBK-03	TARGET-10-PARUGP-09	TARGET-10-PARVWD-09	TARGET-10-PARWVN-03	TARGET-10-PARXMC-09	TARGET-10-PASCIU-03	TARGET-10-PASFXA-03	TARGET-10-PASFXA-04	TARGET-10-PASHUI-04	TARGET-10-PASHUI-09	TARGET-10-PASKAY-04	TARGET-10-PASKHT-03	TARGET-10-PASLZM-40	TARGET-10-PASSXJ-03	TARGET-10-PASUBW-09	TARGET-10-PATCTI-04	TARGET-10-PATCTI-09
hsa-let-7a-1	9249.147525	9180.260671	11397.734888	17055.939955	19032.162477	13899.480240	22242.715984	14175.717593	14172.414727	13711.351113	16255.845014	5512.648466	7378.855569	12151.417133	16179.184355	11585.648318	12165.798541	10780.072784	11121.318128	7032.013375	11076.597286	16325.463650	13113.591747	13474.869144	10332.762796	14146.403933	12605.771293	21512.075188	12183.010911	10854.797622	12219.506710	16762.426316	12781.689757	12189.002900	10976.228311	10775.562144	11020.906511	12432.974041	11949.694935	19431.726489	21382.172927	13752.320748	10825.049044	16156.625459	15480.273803	6617.835841	7372.299187	16317.545268	14993.797943	14951.511978	23394.772687	14191.494883	14799.635701	10495.063046	7610.372722	10996.676575	22613.984301	14015.149511	26426.398274	24211.432507	19258.963553	5519.920612	11908.672255	6150.318841	17715.118201	8735.812971	26525.621325	18692.646396	15033.242828	13051.924863	5972.483824	5337.732293	3260.975944	11498.189206	19598.060222	15733.405957	15017.737432	22368.900197	14806.617501	4108.850869	10707.085261	20402.265622	14742.234215	20191.811253	10695.177804	12618.998819	10601.590820	17659.831807	11205.923768	9685.162286	19415.424464	9128.195458	19712.183867	19640.322772	6590.930567	6713.890334	5823.006431	12991.460963	15578.832797	23873.376169	12264.988834	6779.616279	11045.051216	7690.364928	10293.080070	16665.021878	11118.874194	14277.270487	17362.345075	14665.227070	11863.832177	14135.914178	11721.352021	13859.721627	13287.419995	5165.806308	22335.945327	12802.016774	9430.929510	14711.887317	18793.725456	17082.722827	14560.783703	22656.199023	19459.504081	5691.117939	17245.782667	4388.212306	14313.927195	14588.801921	18363.149010	12820.677467	14463.687701	23572.570437	12905.155380	10127.267587	13607.635927	10410.938871	17233.640461	14124.874328	9587.557729	14262.248039	5606.326070	1640.286927	8528.658859	16317.952233	5603.907645	7456.038182	16281.656527	13567.401773	10604.637024	19075.132437	20657.949850	7366.646299	7487.983258	9830.160265	12774.035006	8078.355412	7118.283579	9600.341901	13642.325708	9481.346135	7370.600116	11655.206422	14753.351864	5643.633301	10386.483274	7971.209701	10081.042397	13183.597035	17172.165540	17833.581295	7863.813246	10463.271333	17697.295201	12348.560631	2760.612733	10136.730230	9895.976564	10025.105046	14027.107221
hsa-let-7a-2	18529.917015	18305.379653	22686.709893	33847.824298	38048.848876	27780.911897	44675.586410	28190.616425	28275.040259	27478.861807	32502.040596	10885.160581	14674.545914	24274.820599	32318.932293	22750.334564	24514.644409	21502.164555	22207.668992	13837.871763	22150.709080	32636.805741	26052.051990	26712.500802	20856.275261	27918.765635	25337.732775	43269.966788	24486.189321	21498.399704	24508.415357	33547.607399	25361.984288	24398.549173	21896.750890	21574.845653	21755.199416	24620.210228	23689.724838	38899.718039	42766.442453	27261.507950	21518.945489	32285.921442	31021.169396	13442.850784	15105.043249	33022.567122	29609.262760	29772.680291	46682.589097	28115.201303	29443.321606	20959.733150	15170.530375	21909.851859	45280.607807	28091.513750	52748.212659	48244.268241	38312.562425	11168.568923	23990.260837	12338.677327	35284.681498	17426.862910	52513.809431	37229.491353	29808.226624	26057.645930	11683.435725	10659.797900	6621.777682	23011.827776	39142.435246	31647.929182	30074.861457	44550.018288	29565.470097	8246.569543	21234.588010	40798.244491	29733.872116	40468.515745	21295.816468	25177.068512	21161.238831	35250.724553	22662.609467	19380.861005	38751.090138	18228.890434	39291.787002	39441.173147	12969.104447	13153.797580	11740.610440	25909.912568	31104.681640	48153.510289	24549.588282	13352.635984	21700.389331	15450.551154	20555.201161	33138.107570	22006.975872	28729.732252	34768.756212	28939.896829	23195.170227	28138.113659	23398.124755	27654.883021	26225.499370	10245.759399	44718.722036	25372.473126	18944.998308	29320.172643	37403.925074	34056.502103	29177.297421	45210.593571	38369.638122	11591.036748	34623.691471	8826.913223	28413.919798	29187.369885	36700.365146	25402.852645	28856.567531	46972.115917	25948.398469	20318.898833	27336.760627	20572.623400	34276.232607	28225.227319	19036.380929	28522.271574	11126.531292	3374.612860	17260.808525	32333.339547	10981.844966	14647.122944	32679.778685	27138.759457	21268.542207	37996.151486	41131.906825	14682.882300	15054.079879	19580.433957	25548.524078	16279.005547	14239.956615	19184.213766	26797.623155	18565.702790	14748.406880	23033.183916	29441.040554	11178.766336	20579.212177	15933.787492	20324.918624	26414.887166	34297.890632	35626.640932	15098.237284	21122.692640	35439.013835	23999.110815	5350.758813	19895.833763	19693.820793	20253.628621	27936.607952
hsa-let-7a-3	9284.375504	9144.385355	11436.327104	16932.087784	18987.554957	13922.756009	22252.630189	14213.783736	14120.854053	13692.631253	16263.943643	5472.742088	7341.725237	12373.572036	16185.231272	11303.475051	12120.970624	10811.261127	11113.020811	6894.805469	11144.948330	16310.714466	13077.608250	13441.135220	10453.081818	14022.145836	12660.221686	21719.256408	12206.936274	10861.329443	12287.419335	16747.256470	12611.558050	12117.101098	10935.181982	10794.802807	10911.837209	12295.095558	11975.953562	19268.080400	21342.337531	13695.674451	10882.083894	16267.578459	15565.677248	6715.973311	7271.374621	16386.763001	14772.241158	14950.436239	23350.980848	14047.898171	15168.716887	10468.469221	7589.542768	11021.061907	22471.192892	14212.019096	26262.206986	24160.591090	19203.693211	5518.959957	11906.345224	5998.160264	17746.401644	8919.253633	26300.848685	18639.750846	14957.115058	13049.333996	5964.939634	5287.045954	3327.526473	11514.067719	19528.020592	15745.304171	14971.281451	22336.424182	14683.937115	4155.360110	10811.493698	20337.852169	14954.492671	20306.645333	10689.225339	12566.181559	10612.015912	17599.899859	11340.949423	9730.032959	19510.289085	8989.710891	19823.087901	19666.557569	6451.167531	6468.610236	5947.634985	13001.017162	15548.817951	24032.952516	12222.402470	6721.241326	11025.971015	7709.073027	10317.795221	16506.512035	11099.794576	14249.436359	17413.068599	14723.877314	11791.919787	14029.951588	11685.774321	13860.801229	13305.718789	5235.219547	22447.573579	12667.758509	9570.147062	14813.870526	18727.792099	17083.402662	14587.955551	22654.174841	19182.961686	5856.778134	17098.155696	4405.399918	14198.977265	14562.600340	18284.548338	12737.332711	14456.269733	23526.233869	12982.153596	10090.928296	13786.295888	10290.228969	17306.611695	14188.513038	9458.841230	14277.183994	5578.795635	1590.954989	8792.854908	16215.185317	5449.090606	7464.040131	16263.069771	13606.100910	10558.822374	19054.247912	20719.790837	7390.406567	7439.843628	9839.558685	12826.706758	8089.204138	7156.838653	9510.390165	13657.084140	9470.003578	7424.649982	11689.980782	14739.309841	5608.006348	10284.758121	7942.796329	10169.786834	13148.998517	17218.965991	17863.816685	7613.762455	10528.931706	17865.574694	12021.785039	2675.379407	10135.812547	9900.719802	10246.808386	13960.627312
hsa-let-7b	6488.050642	4755.638445	13512.287611	15666.429921	15796.524164	4907.833874	18160.641441	8965.075668	8069.375668	9762.512281	12263.392936	1325.262964	2630.037229	7987.804282	19053.573321	4169.178959	5171.398295	7161.178425	12982.830975	992.917778	1338.230582	922.294709	6086.528789	8440.814381	3093.812888	6592.018826	9588.994958	43798.785986	6987.692766	5262.470335	17429.119921	14897.799488	12499.591030	5853.116827	15093.321762	4602.208512	4150.432664	6598.445324	24870.555071	400.728928	8743.345261	7298.461703	3355.136994	13058.350533	1266.662332	13748.167357	2309.730762	18491.838373	17600.731674	7451.103645	20974.825879	6591.218453	12180.718783	2495.070645	1492.317466	5073.627078	14634.909293	5069.108404	18873.869932	3752.324732	11713.645147	12357.859162	4890.882817	1725.616588	16234.368598	21135.172948	9764.441948	609.741437	12972.260501	10014.133180	14356.593748	2083.669322	3262.933312	9179.497149	12069.333308	4332.272189	381.578655	12444.423008	5117.213399	12672.966263	6881.560113	13432.523868	13388.202144	11956.436806	6189.162313	7378.372936	15093.835522	9200.535531	8756.775394	6353.106041	8299.345213	29772.217442	13410.314176	10434.477586	2949.169825	3600.050796	5165.328036	5657.269611	3533.719778	24733.794577	1074.986580	4577.611530	1219.701834	17741.625119	18022.158304	762.571621	1144.777046	1169.033386	16437.908859	5270.524253	5114.340700	384.997413	15863.367914	6679.932823	4763.508877	22405.862861	20285.659322	7605.941232	18099.911905	11009.330250	23617.736073	9825.484667	1763.952051	28616.464082	18544.024930	12858.509800	14477.038839	15736.333431	24914.865208	11661.847164	2713.059956	4920.485695	27736.454454	24969.617955	12535.436679	9727.535389	28319.390412	291.909042	10002.070859	54901.523476	9457.930500	13886.942448	12263.750041	2446.555783	2102.453347	3583.936432	4251.213320	5471.554850	1307.382131	356.204065	10767.897166	26178.751365	22178.600596	5768.607741	640.347913	626.316605	14353.733496	9031.070749	9776.041623	16821.185872	3623.195090	5851.728038	2441.252299	27552.401822	249.948011	9677.576072	468.198646	5095.344847	12005.738264	1092.496254	27470.784818	21051.624279	727.420485	1426.243038	17644.340116	5807.491386	999.123991	11396.250621	316.215899	30649.001101	9817.378309
hsa-let-7c	90.982497	11.626260	29.570659	42.965571	574.435612	48.819938	87.443283	53.321114	67.054917	49.849515	565.697893	19.489161	44.354787	63.845104	57.314259	1430.168091	77.203635	2679.685672	52.895393	45.663830	50.331223	1565.767082	37.047049	595.110414	89.505614	158.492470	93.519954	242.918773	270.207909	58.786388	2239.925177	2767.232628	1406.131285	519.398467	551.193569	35.318478	51.077444	26.179459	55.749084	66.637050	92.250391	96.744238	38.849825	288.711385	56.757984	159.597299	38.447453	72.785657	39.481572	35.140795	65.931951	908.410912	974.166396	114.923315	12.646758	33.622201	84.404244	74.062262	69.090394	52.796856	205.888570	94.144139	59.965807	31.123345	1457.287022	41.252206	52.365288	62.512923	30.760930	4697.673876	1815.635082	963.962013	48.934213	1183.163798	1558.766923	30.406549	83.654429	980.068248	59.329039	51.320542	40.719291	42.667471	1507.035041	86.718900	868.009356	30.284299	51.155682	67.668827	53.648586	49.048914	99.698488	44.197202	421.435330	457.182610	718.619662	78.280882	37.538721	491.188611	85.958012	174.940961	120.796743	82.232542	20.988221	1293.531408	1199.985639	112.880231	4742.647760	3420.323171	122.053478	77.311686	251.693366	62.568387	54.009521	102.778163	71.531651	149.786463	124.749114	60.346050	175.733631	1613.115364	973.706525	69.343166	56.007280	82.753345	44.164233	26.747219	1133.775132	46.191708	2787.003633	793.193306	90.898737	47.438367	68.110428	92.251894	145.723895	32.643770	845.954915	780.552010	117.275198	1370.859543	52.822337	44.807865	104.474472	7.708115	1240.609925	2564.871018	192.348442	133.365815	289.373611	26.659406	48.359908	42.129127	114.501456	55.868738	802.024408	891.675129	36.098313	9.862478	24.573564	103.887921	1806.063133	52.588217	275.654319	74.861470	20.728701	56.679244	21.363926	56.467081	3783.444033	75.203723	72.000694	59.535665	32.677092	62.335797	74.431314	118.928532	55.638421	160.594585	22.872950	68.110923	98.875430
hsa-let-7d	1264.046463	1881.793161	817.453305	1342.891520	1203.265088	2113.360883	1462.741726	1736.215316	1613.875134	1547.017663	1496.351050	925.271131	2223.955718	1138.788181	1792.253689	1019.316461	2281.242879	1751.570825	1518.112598	625.442977	2011.177674	1086.732419	2918.208447	1191.687521	1497.384895	1305.977956	2427.140321	5167.456998	1522.572228	1294.389166	1651.646956	1270.980212	5091.591204	1936.503537	3302.763591	1744.442875	2002.057373	1196.924856	4177.949460	826.390085	3497.128445	1581.640999	610.851500	1551.473316	2430.201003	2135.233433	758.376018	2873.606280	2483.122586	2226.420392	1603.855766	1890.819409	991.840707	1170.128296	3593.167180	3529.592155	1625.159846	1844.377049	2385.108771	3408.819259	1045.421481	2736.904598	2659.438788	8342.785609	3435.095764	4444.705806	915.626966	1967.073321	4589.353753	2501.482192	4637.162177	1495.707789	4030.221770	6635.931015	2641.477682	2309.575683	1808.248562	1167.528808	1259.485104	2728.007544	1168.330415	1370.409099	1207.219971	1925.159581	1303.589686	1737.381407	2143.204877	3726.173586	834.868446	2391.407066	2477.960592	6255.377326	1560.722227	823.552463	2911.824236	3840.112168	4750.900554	2942.544693	3036.854286	1581.746622	2594.519100	3629.399251	2114.086244	5596.728221	5589.656683	2230.147272	3054.555895	2631.143770	2379.250275	2991.162475	2581.997247	2404.593932	2905.797965	1413.631580	2388.824427	4966.699912	2865.192434	2313.499131	3455.007952	1861.193568	3792.187577	3030.534277	3155.538870	1866.772591	2064.161963	3068.164856	1793.667689	5260.483638	5461.718214	3196.354646	999.618760	3914.320542	6086.105068	3753.788541	4031.270184	1308.830386	4200.295682	3700.803098	1828.891677	3726.075640	3405.219272	4047.326003	3669.312883	3695.270455	644.672559	1252.800398	4306.728521	4756.714080	4890.192349	2015.623100	3102.669903	2376.874926	2651.512012	1061.827107	2629.513772	3225.567228	1174.443848	3648.130469	2301.865049	3860.323113	1433.412721	1108.477117	1430.519798	2361.758636	2679.619207	6299.493126	1499.254563	1514.540633	7889.299049	1977.881936	5605.254035	3359.245375	2548.813182	1122.044348	2912.529673	1930.643548	3673.319601	3282.094484	2182.205920	1988.930375	1320.079113
hsa-let-7e	631.052382	135.528969	134.822158	193.779942	771.300432	107.009360	585.532915	912.304303	861.427824	143.238481	485.745464	117.863023	74.932708	202.610483	103.060503	459.565582	285.155360	87.494814	179.083749	101.715640	136.909211	140.744871	95.010613	122.468810	247.974569	467.869772	1242.142584	1381.208132	601.243010	1755.971173	996.647559	288.732724	1132.030202	803.129570	348.893801	131.653580	177.767349	272.964490	178.558660	371.716879	446.575755	199.853229	128.672824	219.102977	155.751369	1359.055263	181.664217	293.283382	441.580306	3629.183570	571.084655	312.549240	292.145952	817.760116	87.783380	250.134396	2993.476671	148.124524	209.709666	254.207087	1188.181367	239.202964	508.187839	515.264272	321.958761	102.691663	1266.872494	282.430182	333.501596	240.087019	281.649763	211.039485	97.868426	126.169807	197.201259	523.521449	151.823532	168.971740	183.350194	73.773279	244.315744	173.040301	283.895686	289.002145	368.352498	253.090215	868.434374	171.828012	171.796034	170.217899	295.470063	460.633061	1191.210150	1295.778803	267.077544	327.040130	391.904249	643.323294	2195.311258	658.791538	1237.325335	990.851376	176.491857	2143.413613	1454.811858	166.866429	214.418558	204.662708	454.609579	234.600978	405.791344	512.404813	1518.267649	1589.606796	237.884327	231.986351	366.980403	144.082041	183.232469	245.650032	175.369133	318.332718	416.172906	734.897336	174.593183	56.945692	200.034545	121.387513	304.936621	304.414728	253.447067	172.979682	115.990036	606.482486	219.540365	168.762130	376.972518	172.359812	246.378151	556.984669	171.217230	142.686038	161.653069	958.889538	1717.701819	4643.630626	155.598943	172.486454	437.044529	106.809621	890.476807	2293.696906	3499.434824	220.585190	291.562667	360.811231	1304.306960	69.037343	108.886309	210.098539	306.237467	133.017254	97.289760	251.631135	115.412056	148.985442	100.246112	123.724051	281.702525	258.527814	288.002776	333.524409	206.007754	177.033664	1073.517250	182.282983	449.842555	229.420836	646.029082	1085.660685	345.142806
hsa-let-7f-1	62.134388	161.605008	155.872457	84.365594	102.415224	205.339619	158.230703	121.326920	117.573961	137.980093	155.769386	111.366636	95.261985	125.735766	133.557998	134.193150	242.817883	96.495477	98.283690	113.185701	92.584595	131.330499	175.131504	113.485319	166.539133	213.013880	114.065154	67.611587	157.745187	167.650069	35.147762	103.660610	68.343506	163.765561	29.318807	146.545326	109.069302	112.571673	99.782781	208.524103	182.404181	134.296278	220.975599	326.552197	264.071184	57.990323	210.499807	74.212827	162.909401	156.519971	144.724703	161.966742	106.045862	142.466919	29.385115	74.633897	147.631795	204.804827	204.561754	146.332028	148.260726	28.819634	154.658081	17.290747	167.279518	20.187250	211.604760	170.548078	67.939609	81.612314	16.345745	37.784362	7.829474	50.639582	151.456255	222.100008	133.981742	175.402634	248.209905	20.848970	56.380556	130.991198	98.169536	173.255234	147.060883	67.779146	64.974989	153.582833	92.227345	178.392718	131.521439	10.803760	172.405362	182.542816	39.608958	51.317467	31.532526	88.681524	102.867785	110.247847	191.232500	38.070622	167.428762	34.743612	47.739266	167.794938	177.167876	170.279373	156.925901	179.949614	101.019786	181.902447	36.434994	194.112539	110.624530	20.093306	205.896596	102.214045	38.146261	24.686412	45.881459	128.828724	131.977551	214.325211	44.576983	12.079389	60.527058	13.964935	63.328897	149.825402	221.097811	87.538203	14.835935	98.149275	157.814523	67.135300	54.491288	38.882516	153.760815	25.689020	102.001754	88.662371	6.353177	1.541623	224.865893	128.100155	22.675223	16.003898	340.870859	192.463713	46.905475	72.375679	75.356749	40.135588	130.794467	119.829859	85.251047	24.656194	15.252557	15.625419	228.755698	115.487849	172.959573	99.976286	192.175116	21.052291	59.490316	79.845172	69.204378	121.094812	29.520285	91.952991	127.866882	217.759718	45.600212	154.495943	14.205554	39.919226	81.689107	35.198262	118.220623
hsa-let-7f-2	33274.906667	34909.837526	35206.375635	26356.681381	45736.590775	59404.594006	37165.179966	34248.978523	38646.027120	25842.241217	32916.621507	27995.716097	24119.763300	28411.071262	21759.174422	42821.401785	55545.524617	18866.226290	20294.396694	23470.775690	19777.063751	60025.255624	44434.655830	36010.046842	38431.656228	52165.577718	30493.792094	9429.884611	43184.062951	45974.221080	5287.355295	29480.824683	10729.203398	30748.195429	8612.399510	43557.962366	37638.946261	31627.578699	5645.200711	119756.752101	53747.383837	31035.169713	105510.613441	49866.949834	77976.409996	6158.869694	69360.167093	16508.072429	37716.401182	44352.345281	77224.222520	36650.796858	38555.988056	37280.743411	4415.578426	11217.252992	33882.707144	52148.523554	51002.799651	51664.494228	44940.026441	3225.877726	41278.492485	3399.360934	21635.976306	3500.293593	70736.623425	35267.547297	13585.708693	12457.320862	2531.075776	6907.165666	2431.051694	8230.648706	44510.007016	59677.479059	56650.880610	53191.532120	72392.656339	1347.164219	23662.084180	62758.800372	24457.480651	52358.498489	33096.401910	35143.306927	15752.070957	38820.428411	22801.251881	26190.848599	50944.517288	2006.552972	34019.812502	55498.152924	4684.042173	6890.457213	2860.450555	14487.961674	26012.162636	38458.169029	31590.495095	3184.734391	22157.837145	3957.431057	5489.495280	39219.845061	41019.360360	43268.971005	36133.218994	45046.053772	27354.103458	44828.987732	3690.221962	30005.177774	35570.360944	1355.384823	29050.596666	30427.507320	7029.019198	3901.262447	7485.814982	35033.254977	15830.374467	41467.403755	16019.234143	1269.198679	11732.653462	1644.639667	4988.081927	39629.176175	74400.349051	12988.415341	3506.675496	19786.030367	25232.505974	20269.317259	5316.920438	8452.304645	48812.944455	3381.025389	8671.363402	13613.964037	1207.103699	739.979065	47481.758503	19468.833662	2172.911866	2361.464037	45282.110282	47824.394664	8359.719178	10419.577297	19329.579947	17343.711219	36388.110783	35164.042819	23672.774017	3057.368060	2770.457492	3666.483455	38165.305509	29152.432617	36889.033823	20086.056882	46308.719896	3073.634435	31219.761828	24307.460021	7934.892522	37053.571000	4945.727677	17692.378905	42179.022159	62413.924653	14719.160062	31074.802712	1515.259133	4886.204971	29231.208528	5174.144545	40476.591856
hsa-let-7g	1442.405444	2539.009008	2631.287461	2651.341004	2882.191995	2352.627893	2546.165989	2084.655965	2675.946894	3413.534964	2419.939446	1351.248513	2859.035616	2808.533094	2621.995898	3875.056986	3724.452757	2424.527350	2750.560439	2100.752588	2540.587575	2436.596554	2788.100630	3285.940837	3211.930952	4809.295520	2426.242171	944.147517	3453.227335	4030.133467	770.867867	2482.039535	1337.060720	4791.063245	766.686799	2805.710418	2824.872619	1883.524795	657.273619	4085.259159	2063.054190	2678.924331	2576.211784	3192.643372	2569.298034	385.115222	1695.532694	957.630898	3747.299537	1328.537212	2802.189331	2759.126735	5170.255591	5234.234611	475.369323	560.123700	1681.429342	1667.912374	2192.468497	1978.741444	4210.499846	660.930279	2625.428330	300.859004	1939.573424	289.643151	2762.804844	1108.241928	679.617387	900.758131	347.032744	538.196764	148.760007	333.448774	2271.962342	3078.993570	2465.028409	3068.661852	2661.929729	234.149971	3429.817170	2558.605421	3420.014381	2747.072187	2588.621689	3082.689296	1145.790300	1941.956775	3789.760233	2714.221587	1943.818392	308.398254	3179.921127	2478.729634	329.886034	577.538953	225.232327	979.701487	1445.644663	1883.917373	2337.840526	408.624671	1099.019564	684.515975	756.803951	2196.853573	3201.741515	3518.561270	2899.166391	2995.161355	2655.621837	2467.414611	413.644348	2637.469032	3367.809925	188.146411	2160.299382	2232.569932	674.569355	662.890860	1064.789718	1716.583265	1163.121480	1957.979875	899.381907	207.938057	639.962916	148.243157	765.800693	2713.054580	3049.652633	761.372693	260.977580	1509.097764	4196.720894	1565.669102	733.399140	740.218653	3299.342236	519.034980	968.409510	975.921652	369.190196	95.580629	2425.644630	835.518923	420.664478	383.204443	2665.749947	1530.077916	801.756374	755.803737	1459.064773	1501.713147	3829.371351	2032.995798	2613.608655	398.444096	528.755307	635.363322	4838.920937	3121.265334	2792.576431	1390.008457	2377.916311	280.157406	2349.703140	2001.883914	797.885766	3219.704433	531.005119	1365.579845	3041.811050	3015.390293	928.184962	4860.509059	124.298601	766.265593	1231.450117	288.900022	1709.132436
