Hugo_Symbol	TARGET-20-PABLDZ-04	TARGET-20-PADYIR-04	TARGET-20-PAECCE-04	TARGET-20-PAEDKB-04	TARGET-20-PAEERJ-04	TARGET-20-PAEFGT-04	TARGET-20-PAEGNK-04	TARGET-20-PAEIKD-04	TARGET-20-PAKERZ-04	TARGET-20-PAKIWK-04	TARGET-20-PAKTCX-04	TARGET-20-PALGKX-04	TARGET-20-PAMYAS-04	TARGET-20-PANLIZ-04	TARGET-20-PAPXRJ-04	TARGET-20-PARBIU-04	TARGET-20-PARCVS-04	TARGET-20-PARDDY-04	TARGET-20-PARFAL-04	TARGET-20-PARGDB-04	TARGET-20-PARLVL-04	TARGET-20-PARUBT-40	TARGET-20-PARUNX-04	TARGET-20-PARYFN-04	TARGET-20-PARYVW-04	TARGET-20-PASBBE-04	TARGET-20-PASCGR-04	TARGET-20-PASCRZ-04	TARGET-20-PASGWH-04	TARGET-20-PASGZS-04	TARGET-20-PASHYZ-04	TARGET-20-PASINN-04	TARGET-20-PASJGZ-04	TARGET-20-PASMYS-04	TARGET-20-PASPLU-04	TARGET-20-PASTUH-04	TARGET-20-PASVVS-04	TARGET-20-PASVYA-04	TARGET-20-PASWAJ-04	TARGET-20-PASXNR-04	TARGET-20-PASYJI-04	TARGET-20-PATDNN-04	TARGET-20-PATIAK-04	TARGET-20-PATJHJ-40
hsa-let-7a-1	12282.798214	11801.496754	14203.248320	8181.081311	10967.689772	12751.342430	6468.849801	13324.855963	5502.362544	1515.921121	6158.072549	8904.110774	9060.478849	9532.077003	10259.533878	34742.111987	12063.154662	7361.826255	7534.101773	6986.278530	13648.588100	7310.207238	7566.306302	9629.095736	6099.850861	7380.051580	13727.270013	4323.373585	12320.513354	5657.617192	17950.048789	5564.195611	6208.926265	13541.324133	9563.991808	10074.291316	8173.830533	6562.981020	19804.815389	5969.699959	13451.428744	9703.392460	10478.517005	7980.270800
hsa-let-7a-2	24388.232244	24132.464900	28129.280543	16270.103259	21866.643400	25332.524253	12853.990209	26333.891991	10893.592599	2935.236447	12233.175287	17940.615033	18324.276796	18977.773489	20474.478747	69607.584954	24311.692406	14612.049952	14944.865234	13975.378259	27237.920391	14698.471648	15109.214480	19128.559058	12192.518149	14387.086047	27324.077893	8579.723371	24689.645179	11302.920959	35209.790936	11019.063463	12500.677830	26941.222697	19045.793789	20120.227168	16360.788587	13391.165792	39901.624450	11850.108665	27016.907355	19228.044309	20579.868443	16078.164640
hsa-let-7a-3	12247.325377	11837.082408	14239.123345	8127.153045	11005.659590	12793.659600	6435.285490	13257.686564	5460.883516	1437.542835	6172.835861	9036.504258	9150.885277	9517.550549	10338.557048	35415.218665	12078.883064	7357.277237	7541.844443	7050.460829	13644.949586	7439.154626	7562.261414	9630.910590	6094.183820	7314.815403	13704.052176	4351.469421	12373.163600	5672.875131	17782.921917	5565.325030	6219.047294	13290.520167	9652.790331	10193.384265	8197.572885	6648.495699	20052.947350	5928.003588	13606.364413	9626.061678	10334.263893	8016.855893
hsa-let-7b	4738.616285	54324.196088	41313.352032	7191.742765	13809.636430	17285.126645	3508.141863	10761.280183	1531.593519	884.034161	5187.532442	40296.076826	18824.754577	873.662399	15606.706852	104463.418161	10132.979226	8932.601912	5477.031642	3646.824133	54011.670276	13045.113602	4947.209848	6584.289588	298.876529	21767.472172	53241.818200	4519.705928	18551.503977	3051.855580	23235.825358	2767.980068	5784.864438	4878.137140	7909.397955	30306.320028	11726.773620	15012.697306	43918.730517	4898.204920	59624.410115	4717.640772	1401.108314	2462.609445
hsa-let-7c	982.437004	217.827334	640.858391	310.169237	442.442636	363.808732	669.608019	128.600707	501.139695	478.775889	190.151454	1073.858258	4589.365992	271.463094	97.763478	228.140972	66.624807	1329.981011	90.069028	358.574515	6558.682483	1541.629153	3256.384203	827.573333	2377.882259	1710.526008	645.677005	159.943158	1503.377976	53.268947	2167.459049	1121.964828	453.867793	10958.043283	309.957107	2547.940988	60.304550	493.603718	44722.026411	1148.989270	1703.216421	117.616878	5466.720589	46.026407
hsa-let-7d	1245.490716	13773.804646	13299.849977	1166.266835	731.053650	855.857316	1312.633103	1087.986736	317.092816	73.517617	1443.261345	9553.963757	8481.038491	1426.834924	725.425317	5096.219468	1089.147703	1674.341617	1118.694828	2831.779463	6450.046833	1603.615731	1649.256637	1387.066833	2309.279140	10118.967368	7957.084591	1467.922765	627.889760	1512.543632	7270.537920	1538.946320	1462.999375	14595.397469	1197.011529	10817.204475	1689.245319	13294.826470	11435.374469	1952.000358	11912.831471	13119.375575	12801.827836	7764.694127
hsa-let-7e	542.311066	283.606876	774.574392	150.999144	267.875723	501.364308	149.495444	181.481138	388.572398	291.032552	262.491681	571.109146	2310.513657	161.866193	583.626731	611.076922	205.529576	412.444231	161.446766	248.406657	319.149710	500.484222	151.216603	237.486583	75.986235	110.399684	353.795619	86.657034	414.917143	323.762768	1656.735940	153.375099	268.439400	882.690625	256.808306	2442.620693	76.201158	506.593290	7081.786425	190.582925	445.440050	186.612606	1436.354037	147.913922
hsa-let-7f-1	135.614261	24.802122	29.352293	78.114276	37.363917	40.830618	58.804674	102.273003	16.043775	10.328921	59.643779	17.306338	16.402854	125.420359	31.295391	74.184235	98.611783	38.363379	44.822800	85.059179	22.350875	22.957992	59.490976	82.705480	76.664683	7.359979	23.217837	56.022418	57.749257	64.377797	39.446094	48.790900	54.412137	48.070760	35.370481	15.392966	67.740060	20.566822	47.621285	50.849233	12.911306	52.788678	25.435058	37.371869
hsa-let-7f-2	39088.876536	3246.921302	5162.742156	22951.216164	14495.045511	14535.402574	15530.744070	24129.340583	5048.310675	4065.949556	20275.932200	2641.812458	2395.198160	38544.646535	13122.923680	8285.582762	26896.098702	10453.338380	17271.537552	18745.604218	4409.359923	6500.938025	15817.443352	26865.280810	20383.387270	1397.057815	6224.591670	15407.857593	18886.615679	14593.014541	8638.694542	15806.218807	14769.552528	5248.769667	14571.800307	2937.626081	13581.189821	2247.195876	6830.521484	13687.596550	3440.862992	9597.815104	5837.345714	4217.907105
hsa-let-7g	1878.454587	5930.942265	2643.337030	1902.632789	958.468626	1205.395152	1253.559915	1593.613664	543.010034	436.245036	1227.126463	8966.413590	1757.394159	1839.671536	913.659247	2141.982479	1863.904076	817.610034	810.439781	2771.828964	1765.199375	821.130842	1096.164798	2984.397443	1158.231357	1378.323323	9321.408947	1497.034112	1879.281761	1460.479260	2425.934769	1358.013397	1394.194949	3809.433573	933.315288	840.942050	1318.392847	2473.430914	2695.615395	1933.694634	3317.129645	3436.357692	2247.732374	1646.722546
hsa-let-7i	1017.179947	3866.974357	5707.390255	1401.699122	579.645633	488.877274	839.913337	776.779775	334.310525	247.894115	1186.084457	9299.560592	2800.691972	854.985531	543.376612	2128.570640	1640.348690	899.492345	751.099474	1297.751983	1639.930515	1110.784172	899.334298	1889.262806	680.084782	1946.045333	7961.507037	1464.876229	1125.339722	1186.104032	2780.949613	1072.948043	1367.174588	4106.914944	508.776440	2499.331621	1106.506451	2755.954095	2712.533484	1899.727346	4544.779636	2461.156331	2338.208507	4355.199548
hsa-mir-1-1	0.000000	0.000000	0.000000	0.000000	0.067322	0.099103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092317	0.000000	0.000000	0.000000	0.241958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.474327	0.000000	0.000000	0.225884	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1-2	0.000000	0.000000	0.000000	38.348989	11.310159	84.832545	33.094411	0.225023	0.652186	0.607584	2.066864	0.000000	0.381462	0.778203	13.385934	0.000000	2.120684	0.454902	86.923568	0.282120	0.000000	0.382633	0.560061	14.518830	0.399087	0.000000	0.000000	2.200276	195.422535	12.179583	0.000000	2.484722	0.371414	0.000000	10.424984	0.000000	1.384543	0.000000	0.000000	1.220382	0.000000	0.000000	0.000000	0.000000
hsa-mir-100	175.466461	11.861885	52.181854	20.155008	36.556049	211.784053	32.758768	71.219814	81.523246	361.512251	130.212409	12.114436	11.062390	56.419707	111.518679	10.757413	3.004302	29.265344	112.208225	205.806537	20.791512	656.598567	48.538663	134.039916	73.471984	38.472617	36.485173	18.279218	96.051125	70.668351	18.684992	254.345157	119.038157	9.056810	54.824245	2.430468	1573.764157	22.731750	33.836177	73.222896	19.366959	10.650347	18.894614	5.900821
