SAMPLE_ID	mutations	structural_variants
PIP15-64793-T1	WXS	WXS
PIP13-92847-T1	WXS	WXS
PIP15-18928-T1	WXS	WXS
PIP14-57679-T1	WXS	WXS
PIP14-75899-T1	WXS	WXS
PIP15-18739-T1	WXS	WXS
PIP16-74654-T1	WXS	WXS
PIP15-26188-T1	WXS	WXS
PIP14-45760-T1	WXS	WXS
PIP14-85546-T1	WXS	WXS
PIP15-68033-T1	WXS	WXS
PIP14-13487-T1	WXS	WXS
PIP15-54215-T1	WXS	WXS
PIP16-88073-T1	WXS	WXS
PIP13-45348-T1	WXS	WXS
PIP14-44070-T1	WXS	WXS
PIP14-70449-T1	WXS	WXS
PIP15-51609-T1	WXS	WXS
PIP15-57784-T1	WXS	WXS
PIP15-89172-T1	WXS	WXS
PIP15-44470-T1	WXS	WXS
PIP14-56374-T1	WXS	WXS
PIP15-46387-T1	WXS	WXS
PIP15-49209-T1	WXS	WXS
PIP15-49209-T2	WXS	WXS
PIP15-24625-T1	WXS	WXS
PIP13-77086-T1	WXS	WXS
PIP15-79700-T1	WXS	WXS
PIP15-97336-T1	WXS	WXS
PIP14-35585-T1	WXS	WXS
PIP13-72282-T1	WXS	WXS
PIP14-15491-T3	WXS	WXS
PIP15-84578-T1	WXS	WXS
PIP14-80864-T1	WXS	WXS
PIP13-50662-T1	WXS	WXS
PIP15-49177-T1	WXS	WXS
PIP15-35162-T1	WXS	WXS
PIP15-79265-T1	WXS	WXS
PIP14-84044-T2	WXS	WXS
PIP14-84044-T3	WXS	WXS
PIP14-84044-T1	WXS	WXS
PIP14-82072-T1	WXS	WXS
PIP15-68909-T2	WXS	WXS
PIP15-68909-T1	WXS	WXS
PIP15-10488-T1	WXS	WXS
PIP14-20062-T1	WXS	WXS
PIP14-20062-T2	WXS	WXS
PIP15-83826-T1	WXS	WXS
PIP16-22729-T1	WXS	WXS
PIP15-34296-T1	WXS	WXS
PIP13-81192-T1	WXS	WXS
PIP14-15491-T2	WXS	WXS
PIP13-95124-T1	WXS	WXS
PIP13-95124-T2	WXS	WXS
PIP14-15491-T1	WXS	WXS
PIP15-11925-T1	WXS	WXS
PIP15-11925-T3	WXS	WXS
PIP15-78886-T1	WXS	WXS
PIP15-11925-T5	WXS	WXS
PIP15-11925-T4	WXS	WXS
PIP15-17264-T1	WXS	WXS
PIP13-65217-T1	WXS	WXS
PIP15-16072-T1	WXS	WXS
PIP14-14630-T1	WXS	WXS
PIP15-39486-T1	WXS	WXS
PIP15-29224-T1	WXS	WXS
PIP15-81199-T1	WXS	WXS
PIP15-83665-T1	WXS	WXS
PIP14-47205-T1	WXS	WXS
PIP14-27243-T1	WXS	WXS
PIP15-33544-T1	WXS	WXS
PIP14-78154-T1	WXS	WXS
PIP14-30162-T1	WXS	WXS
PIP13-21968-T1	WXS	WXS
PIP14-84044-T4	WXS	WXS
PIP14-41978-T1	WXS	WXS
PIP14-30740-T1	WXS	WXS
PIP15-40141-T1	WXS	WXS
PIP15-10597-T1	WXS	WXS
PIP15-74192-T1	WXS	WXS
PIP14-10141-T1	WXS	WXS
PIP15-70532-T2	WXS	WXS
PIP14-42817-T1	WXS	WXS
PIP15-70532-T1	WXS	WXS
PIP15-47087-T1	WXS	WXS
PIP15-36388-T1	WXS	WXS
PIP13-45348-T2	WXS	WXS
PIP13-72750-T1	WXS	WXS
PIP15-88980-T1	WXS	WXS
PIP13-42350-T1	WXS	WXS
PIP14-71727-T1	WXS	WXS
PIP15-10838-T1	WXS	WXS
PIP15-10838-T2	WXS	WXS
PIP14-18369-T1	WXS	WXS
PIP14-24794-T1	WXS	WXS
PIP15-93881-T1	WXS	WXS
PIP15-27992-T1	WXS	WXS
PIP15-23518-T1	WXS	WXS
PIP14-37237-T1	WXS	WXS
PIP15-80972-T1	WXS	WXS
PIP15-63375-T1	WXS	WXS
PIP14-59462-T1	WXS	WXS
PIP15-66870-T1	WXS	WXS
