Hugo_Symbol	Entrez_Gene_Id	TARGET-30-PAAPFA-01	TARGET-30-PACRYY-01	TARGET-30-PACUGP-01	TARGET-30-PADENF-01	TARGET-30-PADIEY-01	TARGET-30-PADLIC-01	TARGET-30-PADLJN-01	TARGET-30-PADLPR-01	TARGET-30-PADMGA-01	TARGET-30-PADMTD-01	TARGET-30-PADPHP-01	TARGET-30-PADSEC-01	TARGET-30-PADUYJ-01	TARGET-30-PAKADI-01	TARGET-30-PAKAFK-01	TARGET-30-PALETP-01	TARGET-30-PALJVX-01	TARGET-30-PALNMX-01	TARGET-30-PALRIA-01	TARGET-30-PAPZYP-01	TARGET-30-PARABN-01	TARGET-30-PARACM-01	TARGET-30-PARAHE-01	TARGET-30-PARCWT-01	TARGET-30-PARDUJ-01	TARGET-30-PAREGK-01	TARGET-30-PARFBW-01	TARGET-30-PARGDJ-01	TARGET-30-PARGUX-01	TARGET-30-PARHYL-01	TARGET-30-PARIKF-01	TARGET-30-PARIKT-01	TARGET-30-PARIRD-01	TARGET-30-PARJAR-01	TARGET-30-PARJTB-01	TARGET-30-PARMFA-01	TARGET-30-PARMTT-01	TARGET-30-PARNCW-01	TARGET-30-PARNEE-01	TARGET-30-PARRBU-01	TARGET-30-PARSEA-01	TARGET-30-PARSHT-01	TARGET-30-PARUXY-01	TARGET-30-PARVME-01	TARGET-30-PARVRR-01	TARGET-30-PARXLM-01	TARGET-30-PARXZR-01	TARGET-30-PASATK-01	TARGET-30-PASAZJ-01	TARGET-30-PASBEN-01	TARGET-30-PASCKI-01	TARGET-30-PASCLP-01	TARGET-30-PASCUF-01	TARGET-30-PASDZJ-01	TARGET-30-PASFRV-01	TARGET-30-PASGPY-01	TARGET-30-PASJYB-01	TARGET-30-PASKJX-01	TARGET-30-PASLGS-01
OR4F5	79501	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
WASH7P	653635	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
LINC00115	79854	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
FAM41C	284593	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
SAMD11	148398	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
NOC2L	26155	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
KLHL17	339451	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	0	0	0	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
PLEKHN1	84069	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
HES4	57801	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
AGRN	375790	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
