SAMPLE_ID	mutations	gistic	structural_variants
ALL-03	WXS	WXS	WXS
MLL-1	WXS	WXS	WXS
MLL-14	WXS	WXS	WXS
MLL-2	WXS	WXS	WXS
MLL-3	WXS	WXS	WXS
MLL-5	WXS	WXS	WXS
MLL-6	WXS	WXS	WXS
MLL-7	WXS	WXS	WXS
MLL-8	WXS	WXS	WXS
MLL-86	WXS	WXS	WXS
NCH-ARMS-2-NCH-S13-7484	WXS	WXS	WXS
Rh-10	WXS	WXS	WXS
Rh-30	WXS	WXS	WXS
Rh-30R	WXS	WXS	WXS
Rh-41	WXS	WXS	WXS
Rh-65	WXS	WXS	WXS
ASPS-KY	WXS	WXS	WXS
NCI-ASPS	WXS	WXS	WXS
IC-2664PNET	WXS	WXS	WXS
IC-3635PXA	WXS	WXS	WXS
NCH-MN-1	WXS	WXS	WXS
NCH-PXA-1	WXS	WXS	WXS
BT-29	WXS	WXS	WXS
G401	WXS	WXS	WXS
ICb-10593ATRT	WXS	WXS	WXS
ICb-1218ATRT	WXS	WXS	NA
ICb-5108ATRT	WXS	WXS	WXS
ICb-6753ATRT	WXS	WXS	NA
ICb-L1115ATRT	WXS	WXS	WXS
KT-12	WXS	WXS	WXS
KT-14	WXS	WXS	WXS
NCH-RBD-1	WXS	WXS	NA
NCH-RBD-2	WXS	WXS	WXS
NCH-RBD-4	WXS	WXS	WXS
ALL-02	WXS	WXS	WXS
ALL-07	WXS	WXS	WXS
ALL-102	WXS	WXS	WXS
ALL-105	WXS	WXS	WXS
ALL-11	WXS	WXS	WXS
ALL-115	WXS	WXS	WXS
ALL-122	WXS	WXS	WXS
ALL-123	WXS	WXS	WXS
ALL-17	WXS	NA	WXS
ALL-19	WXS	WXS	WXS
ALL-25	WXS	WXS	WXS
ALL-26	WXS	WXS	WXS
ALL-28	WXS	WXS	WXS
ALL-50	WXS	WXS	WXS
ALL-51	WXS	WXS	WXS
ALL-52	WXS	WXS	WXS
ALL-53	WXS	WXS	WXS
ALL-54	WXS	WXS	WXS
ALL-57	WXS	WXS	WXS
ALL-58	WXS	WXS	WXS
ALL-59	WXS	WXS	WXS
ALL-60	WXS	WXS	WXS
ALL-61	WXS	WXS	WXS
ALL-63	WXS	WXS	WXS
ALL-75	WXS	WXS	WXS
ALL-82	WXS	WXS	WXS
ALL-83	WXS	WXS	WXS
ALL-84	WXS	WXS	WXS
ALL-87	WXS	WXS	WXS
ALL-88	WXS	WXS	WXS
ALL-91	WXS	WXS	WXS
ALL-93	WXS	WXS	WXS
ALL-94	WXS	WXS	WXS
ALL-95	WXS	WXS	WXS
PAKYEP	WXS	WXS	WXS
PALNTB	WXS	WXS	WXS
PALTWS	WXS	WXS	WXS
ALL-04	WXS	WXS	WXS
ALL-10	WXS	WXS	WXS
ALL-106	WXS	WXS	WXS
ALL-107	WXS	WXS	WXS
ALL-108	WXS	WXS	WXS
ALL-116	WXS	WXS	WXS
ALL-117	WXS	WXS	WXS
ALL-118	WXS	WXS	WXS
PAKHZT	WXS	WXS	WXS
PAKRSL	WXS	WXS	WXS
PAKSWW	WXS	WXS	WXS
PAKVKK	WXS	WXS	WXS
PALJDL	WXS	WXS	WXS
PALKTY	WXS	WXS	WXS
PALLSD	WXS	WXS	WXS
PAMDRM	WXS	WXS	WXS
ALL-55	WXS	WXS	WXS
ALL-56	WXS	WXS	WXS
NCH-CCS-1	WXS	WXS	WXS
NCH-CA-3	WXS	WXS	WXS
IBs-P1215DIPG	WXS	WXS	WXS
IBs-W0128DIPG	WXS	WXS	WXS
BT-27	WXS	WXS	WXS
IC-1499EPB	WXS	WXS	WXS
IC-22909PNET-rIII	WXS	WXS	WXS
ICb-9850PNET	WXS	WXS	WXS
IC-1425EPN	WXS	NA	WXS
IC-9635EPN	WXS	WXS	WXS
IC-9811EPN	WXS	WXS	WXS
ICb-10614EPN	WXS	WXS	WXS
ICb-2002EPN	WXS	WXS	WXS
ICb-5323EPN	WXS	WXS	WXS
IRS-56	WXS	WXS	WXS
IRS-68	WXS	WXS	WXS
NCH-ERMS-1-NCH-RMS-1	WXS	WXS	WXS
Rh-12	WXS	WXS	WXS
Rh-36	WXS	WXS	WXS
Rh-70	WXS	WXS	WXS
CHLA-258	WXS	WXS	WXS
ES-1	WXS	WXS	WXS
ES-4	WXS	WXS	WXS
ES-6	WXS	WXS	WXS
ES-8	WXS	WXS	WXS
EW-5	WXS	WXS	WXS
EW-8	WXS	WXS	WXS
NCH-EWS-1	WXS	WXS	NA
SK-NEP-1	WXS	WXS	WXS
TC-71	WXS	WXS	WXS
IBs-2373PNET	WXS	WXS	WXS
ICb-1343ENB	WXS	WXS	WXS
ICb-S1129MB	WXS	NA	WXS
ETP-1	WXS	WXS	WXS
ETP-2	WXS	WXS	WXS
ETP-3	WXS	WXS	WXS
ETP-4	WXS	WXS	WXS
ETP-5	WXS	WXS	WXS
ETP-6	WXS	WXS	WXS
IC-1128GBM	WXS	WXS	WXS
IC-1621GBM	WXS	WXS	WXS
IC-2305GBM	WXS	WXS	NA
