Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-let-7a-1	-2.29	0.7106	-1.1147	0.0072	-0.4567	1.5861	-0.4472	0.3567	-0.0922	-0.7274	1.0773	0.0069	0.2306	2.1637	-1.1055	-0.5581	-0.244	-0.1641	-0.3194	0.992	0.6349	0.4682	0.744	-0.0308	1.1727	0.9629	-0.523	-0.5206	0.3732	-1.1219	0.623	-0.3548	3.4126	-1.1332	-0.6076	-0.6793	0.4	-0.0316	-0.6476	-0.5031	-1.453	-1.0541	0.2573
hsa-let-7a-2	-2.2766	0.7332	-1.1292	0.0276	-0.4583	1.6019	-0.4641	0.3248	-0.0849	-0.7154	1.0726	0.0266	0.2042	2.1439	-1.1012	-0.5636	-0.2553	-0.1731	-0.3398	1.0017	0.6355	0.4678	0.7395	-0.0221	1.178	0.9768	-0.5208	-0.5359	0.3762	-1.1252	0.6412	-0.3556	3.4148	-1.129	-0.5874	-0.6794	0.3908	-0.0227	-0.6512	-0.4989	-1.4494	-1.0551	0.237
hsa-let-7a-3	-2.2953	0.6969	-1.1323	0.0265	-0.4581	1.5711	-0.4666	0.3426	-0.0876	-0.7229	1.0744	0.0258	0.2549	2.1848	-1.0994	-0.5634	-0.2695	-0.1897	-0.325	0.9668	0.662	0.4951	0.7498	-0.0089	1.1676	0.9303	-0.5304	-0.5305	0.3867	-1.1177	0.6473	-0.3485	3.3996	-1.1346	-0.6227	-0.6766	0.436	-0.0251	-0.6276	-0.4992	-1.4564	-1.0418	0.2118
hsa-let-7b	-1.5221	0.5177	-0.6806	0.0939	-0.7625	-0.3231	0.6793	0.7334	0.3378	0.1859	-0.1229	-0.1962	0.5701	2.8334	-0.7729	-0.9831	0.2066	1.5506	-0.6322	-0.4587	-0.2011	1.4761	0.8824	-0.6401	1.1487	-0.1154	-0.4221	-0.1791	0.1795	-0.7519	-0.2695	-0.4611	3.7167	-1.2242	-0.8493	-0.4142	-0.3122	0.0817	-1.1465	-0.0375	-1.0038	-0.7811	0.0697
hsa-let-7c	-1.3167	0.2145	0.208	0.0355	1.9928	0.4433	0.0917	1.5345	-0.1643	-0.6812	0.2637	0.0155	0.8752	0.6948	-0.925	-0.4634	0.497	-0.7052	-0.7395	0.7898	-1.0974	-0.1709	0.0093	-0.2927	2.4388	2.7924	0.5462	-0.4214	-1.1839	-1.1319	-1.1127	-0.0082	1.3245	0.0933	-0.4433	-1.1469	-0.323	1.5569	-1.1948	-0.0641	-1.3006	-0.384	-1.1466
hsa-let-7d	-1.4059	0.4274	1.558	-0.0286	0.0036	2.5349	0.788	0.193	0.6529	-0.5565	1.1532	-0.2706	2.1398	0.1661	-0.7574	-0.7299	0.3004	0.1843	-0.8658	-0.4681	-0.8045	1.0304	0.551	-0.9231	0.1624	1.8101	-0.4376	0.5783	-0.8087	-0.9785	-0.634	-0.5466	-0.2519	-1.0319	-0.6508	-0.8413	-0.7131	0.0588	-1.1457	-0.6007	-0.8104	-0.7957	2.7646
hsa-let-7e	-2.1049	-0.575	-0.5151	-0.5422	0.1492	1.7198	-0.206	0.2894	0.471	-0.6542	-0.6491	0.0541	3.2811	-0.3832	-0.6622	0.7687	-0.8176	-1.1299	-0.5178	1.7899	0.6496	1.8104	1.2388	0.0883	0.9887	0.5442	-0.5943	-0.1815	0.025	-1.1941	0.6621	0.1371	1.3586	-0.669	-0.4707	-0.5363	0.1881	0.3113	-1.5451	-0.1869	-1.0187	-0.587	-0.7846
hsa-let-7f-1	-1.68	-0.0276	0.8323	0.109	0.4124	2.5844	0.7158	0.1371	-0.4101	-0.2733	2.2808	-0.2287	1.7191	0.8604	-0.5858	-1.0098	1.4387	-0.2641	-0.5146	-0.7062	-0.5387	0.2335	0.2537	-0.4052	-0.0921	1.9204	-0.1364	0.892	0.0053	-0.9837	-1.0883	0.0793	0.3922	-0.8954	-0.8596	-0.8572	-0.433	-0.3797	-1.3061	-0.8655	-1.2126	-1.0243	1.9117
hsa-let-7f-2	-1.3392	0.038	-0.4654	0.0346	0.4399	4.5264	-0.235	0.3996	0.1397	-0.6994	1.5502	0.4102	0.5652	0.8604	-0.7883	-0.8996	0.4437	-0.3273	-0.6695	-0.0064	-0.6046	0.2522	0.4503	-0.5079	0.5629	2.2957	0.1866	0.1448	-0.4289	-0.917	-0.473	-0.1935	0.772	-0.6879	-0.549	-0.6985	-0.4055	0.1035	-1.1393	-0.7579	-0.9712	-0.9183	0.5069
hsa-let-7g	-2.1338	-0.0621	0.1893	0.1866	1.2345	1.9718	0.4226	0.5335	0.4937	-0.5078	0.6755	0.4757	1.462	1.0499	-0.6148	-0.8764	1.7123	0.0082	-0.5692	-0.3612	-0.7269	0.4686	1.8318	-0.6368	0.4379	2.3573	-0.1331	0.6722	-1.0272	-1.1726	-0.3408	-0.2616	0.636	-1.0206	-0.7641	-1.0148	-0.7521	0.1456	-1.7353	-0.8297	-1.3546	-0.7472	0.6776
hsa-let-7i	-1.8859	-0.3511	1.3484	0.7329	-0.1569	0.3996	0.5372	0.4541	-0.2293	0.2756	0.5198	-0.2796	1.7242	0.4661	-0.0481	-0.6658	3.6898	-0.2544	-0.5645	-0.32	0.5405	0.9922	1.8539	-0.5879	-0.1941	1.6029	-0.4955	0.7858	-0.6209	-0.4774	-0.9709	-0.1002	-0.6344	-1.0997	-0.0677	-0.4392	-0.7816	-0.4466	-1.4082	-1.1537	-1.1365	-0.8238	0.271
hsa-mir-1-1	-0.2896	0.7873	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	5.7814	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	0.9393	0.4703	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	2.0763	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	-0.2896	0.6615	-0.2896
hsa-mir-1-2	-0.3192	-0.2951	-0.3897	-0.3634	-0.3306	-0.3624	-0.3807	-0.1541	-0.3682	-0.1875	-0.3599	-0.3862	-0.3723	4.9202	-0.2194	0.8209	-0.3563	-0.3858	-0.354	-0.3387	-0.1844	-0.3769	-0.2894	2.9785	-0.2951	-0.3335	-0.3039	-0.3854	-0.0134	2.2955	-0.3421	-0.2565	-0.3604	-0.201	-0.3621	0.4192	-0.3051	-0.3844	-0.1908	-0.3358	-0.3686	-0.2409	0.0189
hsa-mir-100	-1.3941	3.3581	-1.3909	0.1946	1.6732	-1.048	-0.9455	-0.3303	-0.4873	-0.3293	0.2189	-0.5979	-0.5748	0.5609	-0.3214	-0.0458	-0.8882	1.9238	-0.752	0.679	0.2429	-0.0789	1.0038	0.3456	0.2078	0.3178	-0.7374	-0.7898	-1.1224	-0.4375	2.4107	-0.2992	-1.1111	-0.7682	0.7359	-0.5942	0.2329	1.0332	-0.9855	0.8604	-0.5542	0.2661	0.3181
hsa-mir-101-1	-0.7324	-0.8274	-0.61	-0.1203	-0.4811	-1.1768	-0.3893	-0.2338	0.4186	-0.5346	-0.513	-0.949	-0.4185	0.3578	-0.4097	-0.2149	-0.1227	0.8962	0.0637	-0.8649	0.3316	1.2254	2.3979	1.3424	-0.7497	-0.4237	-0.8056	-0.1926	0.6273	0.0074	0.6175	-0.2284	1.6872	0.1319	-0.6807	-0.148	-0.5301	-0.6886	4.3663	-1.0187	-0.4721	0.0931	-0.0275
hsa-mir-101-2	0.1597	-1.3484	1.1232	-0.4166	1.4714	-0.1834	-1.0629	-0.2399	-0.774	-1.0145	-0.1764	0.3036	-0.7964	1.5676	-0.0487	-1.1109	1.0363	0.0691	0.0866	-0.4161	-0.0382	-0.0961	1.6061	1.309	-0.8926	0.2462	0.3172	-0.0419	0.2864	0.4959	-0.4223	0.0562	2.2563	1.2098	-0.9959	-0.9929	0.1851	-0.9824	2.7655	-1.8604	-1.0191	-0.472	-1.1493
hsa-mir-103a-1	0.7328	-1.4737	-0.2061	-0.1547	-0.8003	1.4776	-0.6159	-0.646	-0.8926	-0.4576	-0.0508	-0.3915	-0.0265	-0.4569	-0.0752	0.0914	0.7032	-0.8796	-0.0369	2.2436	0.6241	-0.9077	-0.8365	0.0019	1.7978	0.2206	-0.1993	0.1519	0.182	-0.347	1.1532	0.2541	-1.2193	1.7425	-0.055	-0.7697	0.169	-0.1922	3.6659	-1.2785	-0.5078	-1.0815	-0.6525
hsa-mir-103a-2	1.7642	-1.4931	3.3552	-0.771	-1.0563	-0.2939	-0.7067	-0.3827	-0.4765	-0.1139	-1.324	-0.8342	0.7579	-0.8399	-0.2603	0.117	1.6123	-1.1932	-0.1814	2.3808	-0.263	-0.4575	0.3271	-0.1219	0.9194	0.3381	-0.3661	-0.191	-0.7775	-0.022	-0.0695	0.325	-1.1759	0.0831	0.2291	-1.0852	0.333	0.4479	1.8951	-0.0369	-0.8427	-0.3231	0.7741
hsa-mir-103b-1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hsa-mir-103b-2	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	6.4807	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543	-0.1543
hsa-mir-105-1	-0.2936	-0.1588	-0.1955	-0.3525	-0.2162	-0.3525	-0.3525	0.3364	-0.148	-0.2108	-0.3525	0.1726	-0.3525	0.0115	-0.3525	0.1079	-0.3525	-0.3525	-0.3525	-0.0389	0.3472	-0.2153	-0.2051	-0.3525	0.4655	-0.3525	-0.3525	0.0332	-0.3525	-0.3525	-0.3525	-0.3525	-0.1039	-0.1718	-0.3525	-0.3525	-0.0075	-0.0325	6.2621	-0.2457	0.2525	-0.1244	0.7231
