Hugo_Symbol	TARGET-50-CAAAAA-01	TARGET-50-CAAAAB-01	TARGET-50-CAAAAC-01	TARGET-50-CAAAAH-01	TARGET-50-CAAAAJ-01	TARGET-50-CAAAAL-01	TARGET-50-CAAAAM-01	TARGET-50-CAAAAO-01	TARGET-50-CAAAAP-01	TARGET-50-CAAAAQ-01	TARGET-50-CAAAAR-01	TARGET-50-CAAAAS-01	TARGET-50-PADXAY-01	TARGET-50-PADZUB-01	TARGET-50-PAEAFB-01	TARGET-50-PAEBXA-01	TARGET-50-PAECJB-01	TARGET-50-PAJLIP-01	TARGET-50-PAJLKC-01	TARGET-50-PAJLKR-01	TARGET-50-PAJLLF-01	TARGET-50-PAJLNJ-01	TARGET-50-PAJLPX-01	TARGET-50-PAJLSP-01	TARGET-50-PAJLTH-01	TARGET-50-PAJLTI-01	TARGET-50-PAJLUJ-06	TARGET-50-PAJLWT-01	TARGET-50-PAJMEL-01	TARGET-50-PAJMEN-01	TARGET-50-PAJMEP-01	TARGET-50-PAJMFU-01	TARGET-50-PAJMFY-01	TARGET-50-PAJMIZ-01	TARGET-50-PAJMJK-01	TARGET-50-PAJMJT-01	TARGET-50-PAJMKI-01	TARGET-50-PAJMKJ-01	TARGET-50-PAJMKN-01	TARGET-50-PAJMLI-01	TARGET-50-PAJMLZ-01	TARGET-50-PAJMMY-01	TARGET-50-PAJMRL-01	TARGET-50-PAJMSE-01	TARGET-50-PAJMUF-01	TARGET-50-PAJMVU-01	TARGET-50-PAJMXF-01	TARGET-50-PAJNAA-01	TARGET-50-PAJNAV-01	TARGET-50-PAJNBN-01	TARGET-50-PAJNCC-01	TARGET-50-PAJNCJ-01	TARGET-50-PAJNCZ-01	TARGET-50-PAJNDU-01	TARGET-50-PAJNEC-01	TARGET-50-PAJNGH-01	TARGET-50-PAJNGH-02	TARGET-50-PAJNJJ-01	TARGET-50-PAJNLT-01	TARGET-50-PAJNNC-01	TARGET-50-PAJNNR-01	TARGET-50-PAJNRH-01	TARGET-50-PAJNRL-01	TARGET-50-PAJNSL-01	TARGET-50-PAJNTJ-01	TARGET-50-PAJNTJ-02	TARGET-50-PAJNUP-01	TARGET-50-PAJNUS-01	TARGET-50-PAJNVE-01	TARGET-50-PAJNVX-01	TARGET-50-PAJNYT-01	TARGET-50-PAJNZI-01	TARGET-50-PAJNZK-01	TARGET-50-PAJNZS-01	TARGET-50-PAJNZU-01	TARGET-50-PAJPAR-01	TARGET-50-PAJPAU-01	TARGET-50-PAJPCM-01	TARGET-50-PAJPDC-01	TARGET-50-PAJPDC-02	TARGET-50-PAJPDN-01	TARGET-50-PAJPEW-01	TARGET-50-PAJPGY-01	TARGET-50-PAJPHA-01	TARGET-50-PAKECR-01	TARGET-50-PAKFME-01	TARGET-50-PAKFYV-01	TARGET-50-PAKGED-01	TARGET-50-PAKGMU-01	TARGET-50-PAKGZX-01	TARGET-50-PAKJGM-01	TARGET-50-PAKKNS-01	TARGET-50-PAKKSE-01	TARGET-50-PAKMSV-01	TARGET-50-PAKMUB-01	TARGET-50-PAKNAL-01	TARGET-50-PAKNRX-01	TARGET-50-PAKNTW-01	TARGET-50-PAKNXS-01	TARGET-50-PAKPDF-01	TARGET-50-PAKRCC-01	TARGET-50-PAKRVH-01	TARGET-50-PAKRZW-01	TARGET-50-PAKSCC-01	TARGET-50-PAKSDG-01	TARGET-50-PAKUIT-01	TARGET-50-PAKULH-01	TARGET-50-PAKVET-01	TARGET-50-PAKWPM-01	TARGET-50-PAKXWB-01	TARGET-50-PAKXXF-01	TARGET-50-PAKYFC-01	TARGET-50-PAKYLT-01	TARGET-50-PAKZER-01	TARGET-50-PAKZFK-01	TARGET-50-PAKZHF-01	TARGET-50-PALDTE-01	TARGET-50-PALDWP-01	TARGET-50-PALERC-01	TARGET-50-PALEZT-01	TARGET-50-PALFME-01	TARGET-50-PALFME-02	TARGET-50-PALFRD-01	TARGET-50-PALGAZ-01	TARGET-50-PALGLU-01	TARGET-50-PALGVY-01	TARGET-50-PALJIP-01	TARGET-50-PALJIP-02	TARGET-50-PALKCW-01	TARGET-50-PALKRS-01	TARGET-50-PALLCK-01	TARGET-50-PALLFB-01
hsa-let-7a-1	14115.150259	2603.968310	2776.505083	1732.378313	5837.649954	3212.588344	5968.293880	2997.674526	4062.556099	2147.166448	5595.647792	3918.662200	1286.133816	8014.021830	1705.118646	2502.009577	5013.438479	1194.658211	3290.445317	1288.899463	1542.224333	5650.429128	1401.421116	6607.051092	3119.171845	2160.882755	1975.732105	3937.825399	4876.117107	2096.868644	2047.037401	3059.056589	1712.013676	4101.886183	5478.605610	2379.641912	1752.924079	3362.421371	9205.329554	1719.554824	1451.095580	2366.446655	2604.059025	4029.502995	6068.706261	4338.191699	4754.964219	8985.102322	8810.888793	715.367073	2806.219495	5226.527641	2549.457466	2511.615622	7837.173662	2069.012287	2144.577933	3878.991581	1956.505781	1719.690699	2051.708224	900.288047	1071.523957	4054.638401	5071.101941	11749.095148	2755.635400	1789.364056	1464.033114	5465.717771	198.928999	725.557181	2412.863662	2992.971574	4403.414651	4458.099895	2855.913820	651.835598	2020.160785	2768.019171	964.129732	5569.821525	2873.911693	5514.388364	6093.084148	2482.314374	1341.089484	3060.104175	2619.086045	3612.433110	2282.758916	3598.062460	10123.158399	1705.804210	4414.802343	3643.827767	887.943308	1515.219573	1418.119520	801.960231	2373.828830	2481.529935	10803.425105	2284.083492	1781.556001	2184.819629	660.325731	7045.862755	3085.235834	2473.111421	3174.898637	7407.765899	5065.164494	4611.951529	6752.532273	4632.206133	4051.605887	1284.472493	3377.112019	2386.521135	1714.108840	1506.975001	6339.386742	3586.303012	2494.456999	4099.710324	2667.220481	2216.230808	2095.921732	3982.811013	298.708805	2691.429889
hsa-let-7a-2	28102.336640	5250.761927	5609.410610	3434.368393	11654.218225	6424.739423	11819.916313	5953.571251	8070.741675	4278.243312	11305.076586	7881.377142	2563.324204	15985.796181	3426.888444	4955.896241	9922.074565	2389.533121	6540.737924	2583.244391	3112.639864	11211.030305	2791.062248	13206.046591	6173.517744	4287.672492	3953.177519	7823.249485	9698.746149	4226.703377	4154.781374	5943.474998	3407.442868	8489.491166	10946.616841	4687.290407	3521.259267	6689.495092	18253.199755	3458.472940	2913.984119	4710.398052	5289.698847	8159.189454	12072.728527	8653.333191	9519.778994	18021.583268	17629.872424	1363.630356	5622.404464	10466.843718	5065.428558	5080.162183	15561.694364	4103.844017	4253.107149	7757.276235	3845.022592	3366.019613	4028.252272	1773.634806	2125.795468	8012.474855	10093.898775	23412.721109	5565.567488	3564.504604	2990.180026	10827.519342	385.913070	1433.043369	4765.609358	5883.672456	8826.012152	8836.159326	5717.930354	1269.252581	3921.015077	5439.465320	1935.881042	11103.298551	5672.905355	10979.728987	12111.681225	4972.892742	2692.260945	6086.963634	5170.168758	7176.379919	4599.960889	7291.911254	20189.287950	3393.601138	8820.439359	7328.263987	1805.495754	2982.203252	2834.823751	1618.757984	4710.599404	4945.372493	21557.194825	4628.239572	3525.197440	4339.308131	1308.350195	14094.199676	6046.191751	4851.829276	6347.888134	14700.474579	10332.255714	9157.765264	13317.526712	9198.229947	8036.948788	2491.741037	6659.297023	4798.048288	3472.156643	3019.305474	12647.666745	7150.100200	4878.011327	8139.817640	5273.142838	4372.780029	4152.220963	7993.823612	587.803994	5324.161493
hsa-let-7a-3	14179.555920	2668.443311	2804.657589	1764.427104	5878.825118	3210.839283	6091.897600	3156.805698	4172.703279	2162.462885	5679.709875	3950.154831	1289.659591	8101.569637	1754.462915	2529.508385	5012.099152	1230.630144	3304.060316	1301.186664	1579.812597	5674.114019	1467.468447	6601.140170	3127.082808	2153.420334	2068.821954	3987.206975	4997.054530	2137.254451	2090.314835	3074.609608	1779.044689	4264.276284	5537.631436	2433.670243	1739.663357	3389.362013	9174.278746	1761.587337	1450.814795	2393.114419	2698.964685	4130.277511	6130.964605	4428.253852	4739.774111	8903.363601	8827.901674	713.638642	2917.283972	5316.081395	2614.649924	2567.899619	7904.449772	2068.141445	2160.100690	3874.838390	1966.753394	1707.675763	2034.783840	894.675279	1082.758107	4059.383594	5250.774517	11835.342508	2900.008097	1826.438449	1507.349315	5583.695240	203.063782	725.285437	2431.015410	3038.739121	4434.089930	4468.720649	2882.045955	652.365115	1964.101108	2763.944360	989.073081	5661.496454	2867.050042	5561.749859	6179.915984	2517.808909	1373.575851	3050.183770	2626.508944	3687.199800	2331.704313	3715.746849	10308.113591	1668.246163	4453.160935	3695.195725	935.913420	1537.168180	1453.855566	805.630289	2367.977526	2516.635337	10980.695808	2368.670997	1820.327389	2203.409675	673.573250	7068.369674	3131.906352	2467.962681	3270.355601	7490.755232	5201.388931	4586.355344	6750.776848	4634.059979	4148.609434	1289.284070	3365.854343	2448.222375	1728.885640	1519.592127	6406.784676	3577.019360	2469.546553	4114.736293	2718.176896	2238.223065	2189.821631	4056.327966	301.112210	2699.859032
hsa-let-7b	7142.955002	1801.349361	850.969129	285.201031	4593.171818	2551.880438	6024.406045	3168.071621	2885.621762	1229.493569	8480.293385	2702.825009	340.452245	2258.024362	899.568370	1024.330589	7227.347197	651.612052	3123.142360	1525.009201	484.041018	7530.267271	1415.848289	3283.020400	2765.815498	2024.510685	2240.724068	3247.549128	4835.139810	2404.364297	568.662529	3740.723180	520.703251	2444.629364	7645.610153	1564.160107	1461.008998	4321.712024	14918.237136	2354.529133	3086.666740	1376.020382	1757.794229	4483.431606	6561.113168	2994.625975	3325.713116	14556.498441	15992.657021	326.673452	1820.070925	1874.658576	624.287726	927.807964	2112.390957	635.388263	1729.568684	2624.109483	917.062817	2172.865808	1174.502470	1815.169292	904.215361	2043.539134	8258.024394	10797.131815	2907.854440	2111.841316	669.630330	10026.370022	1198.168199	215.493200	1345.401298	1055.478743	6286.358306	2808.650650	1414.108443	200.951754	917.366311	3825.636389	1391.977457	6245.178251	5127.614114	5541.808177	4322.133142	1960.327948	619.854808	460.503687	987.484993	2641.688480	2997.905545	4137.461018	13937.156841	2071.866553	7203.268288	1859.658920	327.023830	980.541283	695.260693	279.868182	1318.868811	2412.396534	16062.782427	881.764005	1041.472319	1136.928083	531.635548	8984.610336	4982.733220	4654.174870	988.456867	11855.186139	3760.251079	3185.780203	3177.903187	2901.084315	2124.514299	613.694843	1578.173541	2131.134224	509.065665	551.704256	3818.815096	1397.049008	4964.686030	4599.198565	2997.214978	2446.618090	2107.862760	7685.052413	244.117196	1255.068896
hsa-let-7c	8464.400972	148.545346	183.707028	189.635853	450.730788	262.796460	5349.228902	402.287358	1354.341603	764.028673	3723.355928	735.228248	475.807596	145.059527	665.843044	1005.743432	1363.770449	520.292829	60.459827	186.542052	316.920652	502.403471	866.556861	1149.125142	146.242941	1296.997883	800.972475	1225.835446	1659.943187	15.215118	489.492889	927.848658	55.644652	246.657397	6839.428364	406.809380	105.010582	538.175940	117.851930	956.357736	244.563516	357.293625	367.385520	667.889752	326.384655	38.971485	36.548321	3904.350835	1915.869931	21.046189	2285.704052	559.710960	623.948623	332.990546	623.241154	213.138636	146.119176	493.611112	35.472506	729.377281	823.694834	257.626068	251.698463	171.344622	411.854765	475.722276	3180.279443	943.065276	129.948604	5837.483980	183.768129	141.171144	963.671605	321.502893	1139.219363	595.070062	59.931784	117.552805	1085.689086	749.357759	252.551410	2144.867869	320.817214	1409.847613	2724.218111	989.105345	46.862517	1248.607925	703.379526	510.939671	119.870902	652.420781	3632.390855	488.769115	3318.866826	2049.685658	79.564220	484.911098	775.578340	255.907942	36.608155	71.377991	5426.638185	1464.600626	28.703680	325.978089	328.664634	185.921515	744.106340	206.807721	963.797151	1970.870407	5799.812482	3369.248159	791.111233	778.244741	456.668106	161.187847	83.955550	97.360711	78.091965	23.691150	402.813753	754.367079	230.336317	26.796311	201.099211	99.169543	390.254493	2076.793639	73.818843	669.527305
hsa-let-7d	1238.679046	287.293020	134.941163	89.421109	423.280679	884.587753	552.489006	1019.096679	356.220667	161.802305	579.306632	856.396375	239.236713	88.040201	325.103603	192.746273	577.585078	260.688160	1278.886875	146.608649	359.299576	975.228114	176.964491	884.284437	322.481616	577.240145	324.672265	751.470345	519.106209	394.372097	288.614697	1162.032682	42.377066	428.797646	834.433467	145.849879	1166.047534	568.874260	793.824488	724.470503	1232.364261	300.692654	1051.032595	890.421161	434.191313	306.781633	639.825776	1170.456017	603.408476	56.936549	54.882316	159.490971	122.585558	525.224889	355.912327	579.218939	446.952774	338.264113	242.986667	200.013344	115.235144	1386.915065	260.124076	381.599831	1364.315625	775.058976	345.552913	146.781949	132.672893	782.286643	140.582618	94.838748	143.429832	172.334591	511.542675	463.618993	834.507063	30.447235	217.339057	258.343023	159.360286	236.293486	425.002290	333.803234	468.473452	854.984774	58.438119	650.657405	155.401979	93.101846	459.089693	452.088891	561.202115	343.939109	583.525833	142.129587	100.737234	127.352967	132.329516	39.741492	679.426359	622.739304	488.131041	162.107647	550.939285	202.207519	109.765156	591.724453	1658.376532	990.274316	199.027771	846.390195	250.886347	370.028070	431.249245	159.616180	600.807179	55.114434	398.598057	496.569219	97.761745	77.790482	407.072413	263.318138	503.156887	598.910066	918.155630	704.815029	650.786005	618.747594	119.655194	765.479784
hsa-let-7e	1192.634648	3093.061763	5274.920670	667.793854	3339.470446	3115.952707	2793.182464	3504.171678	4395.809908	3322.612609	1908.803678	4091.086662	1180.876542	2108.927198	1903.714101	1965.910135	1855.973385	2225.059045	1784.257184	1339.444540	2157.455761	3377.225329	1295.004175	4028.685863	2518.103470	1386.400603	1161.053149	2826.295867	3332.034510	676.321379	2309.360687	3228.806679	1840.630052	3996.552063	1565.042020	1249.438425	2673.469059	3388.534050	2837.708630	1761.115061	1676.846518	2003.801336	1481.235329	2921.278849	1447.843409	2564.038587	3133.673322	3100.551365	435.749277	1600.120380	3052.467783	2586.610918	2558.952336	818.289841	3023.479165	1792.955300	1825.142684	3632.804585	2421.392680	1202.058992	1578.323249	517.497244	1548.172906	4017.453339	2429.176958	3915.111328	2971.880592	820.766416	516.252838	1471.631735	49.157974	1487.663965	2931.739889	4564.324027	1872.574547	4146.865631	1397.521578	1357.681943	1790.747336	1314.126575	193.657391	2094.202553	1619.209711	3580.631700	3589.816446	1682.739008	950.132867	1381.132420	3027.944101	3530.943529	1168.344746	2288.982565	4828.322845	1803.815280	2204.261198	2208.648663	1502.456979	1601.993138	949.658880	397.362486	2527.162989	1545.715089	3050.231368	3524.516187	1087.955143	1952.280982	1060.116925	2090.868811	2450.202165	1843.534942	2262.807342	4280.684064	2556.808381	3046.804943	5308.695758	1042.417861	3802.265784	1933.160627	3682.023314	1193.926408	2488.080455	1782.645588	2402.254942	3011.841861	973.896071	1635.827118	2942.403926	1959.518224	1243.495193	1142.525748	61.286807	3353.314189
hsa-let-7f-1	91.523834	8.691483	4.485314	3.404146	13.615254	27.110450	27.598291	28.164809	12.186497	5.665347	15.284015	23.642561	5.417654	10.143334	6.294948	5.346990	14.062941	3.900571	13.384237	4.607700	4.053636	15.826310	4.235500	25.736051	9.064645	6.877132	7.138792	13.677631	12.692083	12.585344	5.465068	34.661013	2.326778	12.727873	33.801114	2.927644	11.827130	12.164687	39.254572	3.778203	4.773341	6.168054	7.886144	20.982377	6.198883	14.733123	22.094703	62.630968	20.991700	1.220069	5.343804	6.041325	2.119391	14.879677	24.464040	6.313606	5.259777	13.254863	8.079849	7.208962	3.484432	16.277028	4.279676	13.545370	16.818026	34.888030	13.181855	2.914653	6.538295	18.862677	2.297102	1.358721	8.067443	20.341132	17.973121	20.471888	17.682224	2.382827	8.624566	22.003980	12.818110	11.825523	9.802359	12.463551	24.898768	12.870156	1.680329	19.537897	4.190346	10.186198	12.689547	14.410333	35.269413	9.003642	19.179296	4.512050	2.150384	2.552164	4.245867	1.782600	15.528459	9.337498	34.278865	6.294370	6.426197	6.522823	2.050211	35.596049	12.060920	18.306631	5.250133	29.879527	7.356627	16.491502	11.702829	6.859232	33.131493	3.499329	12.497929	11.541239	4.110103	3.086203	27.959033	9.142991	11.431506	12.897290	17.298857	21.092945	11.941028	10.846763	4.635137	15.722755
hsa-let-7f-2	25685.005755	3146.632904	2815.536862	1690.200111	6843.641545	8208.781949	6459.438818	6726.225850	3621.967379	2271.237544	5733.416207	10033.958476	2678.728829	4471.240792	2166.883538	2157.637934	4399.356721	1924.064984	6623.581732	1432.575939	1666.413007	7970.784414	1149.011778	15685.600031	3652.063102	2693.641023	1480.585484	7399.154118	5147.909006	3801.901044	1862.997528	7303.697575	1025.713127	5249.150305	7479.227954	1429.222354	5001.621750	6023.367026	9666.592833	1536.784234	2609.894237	2911.593820	5579.310675	6566.006421	3127.740647	11003.266238	12584.038124	16025.884636	7622.182327	772.506967	1236.585245	2197.904982	1287.317914	3701.065616	11118.314412	3144.284733	2122.897388	5538.147011	2578.654124	1784.430000	1840.277869	557.909176	1085.834124	6143.300011	5623.106921	25002.007034	2964.348104	870.781870	1858.237788	6498.363577	520.063804	1752.207005	2297.902597	5489.845537	6350.646777	7336.478103	8936.407996	760.121852	3909.515656	4010.429071	3186.512854	3198.207381	4825.981517	4015.682960	8960.627097	5387.176285	815.146414	10226.120108	2405.138945	3472.067307	3207.283075	6015.466526	9248.596516	2345.320010	7021.319570	2326.482595	946.499927	976.968254	1438.641209	532.840077	6239.890092	4250.088010	9247.752261	2576.937360	3918.480693	3288.970526	451.992726	8646.527683	5328.304804	3626.143128	2303.535646	10432.247332	4361.211398	7492.467163	4249.882313	3074.418958	12753.233907	1361.457733	5753.531118	6638.727990	1903.956474	1426.370628	14940.770362	4661.237418	4381.167362	5885.296263	5279.347863	4168.391029	4118.568976	3548.217359	605.829526	7522.158930
hsa-let-7g	1017.496447	311.471146	297.366805	90.666529	438.103738	374.736384	555.104958	417.778003	382.702862	235.338507	463.827406	630.222028	285.759740	211.335875	196.767889	282.753944	588.299700	180.509757	556.599629	248.536566	235.479414	732.703563	216.142868	731.751257	314.515716	238.504800	314.963508	445.766418	241.330899	210.006194	189.061828	452.815030	162.527931	189.601416	682.076208	221.569387	429.898269	497.350996	677.207534	245.110946	161.170446	191.028275	286.892468	431.468601	544.962653	570.789683	567.281501	965.790753	680.378043	84.184755	188.477429	267.666219	187.184587	290.846863	250.164540	255.592195	252.341018	449.604965	231.852241	122.552346	96.195212	532.090442	206.226902	434.573445	395.317039	511.518173	228.171633	129.410614	126.407027	767.196502	130.934792	105.708518	330.299742	144.648050	395.408663	445.148116	393.390354	64.071574	128.649772	342.691612	167.674736	414.761248	338.881562	432.851810	491.279887	335.707855	108.661295	332.295704	198.622406	194.148926	407.198508	342.033501	647.522509	405.421118	536.850556	198.877298	106.857559	147.515060	167.711740	38.221039	374.633459	321.425419	654.040749	270.216220	275.898056	296.299244	106.768694	416.577527	736.764910	629.004397	311.348799	660.042951	198.882604	522.059101	130.779113	299.766972	322.434325	96.450259	478.355830	290.306558	196.306367	185.807603	618.246435	309.595738	395.154748	285.493404	448.360045	486.037043	301.782334	351.314616	36.222734	468.363394
